Landscape;Category;Transect_type;B. bohemicus;B. campestris;B. distinguendus;B. hortorum;B. humilis;B. hypnorum;B. jonellus;B. lapidarius;B. lucorum;B. muscorum;B. pascuorum;B. pratorum;B. ruderarius;B. rupestris;B. soroeensis;B. subterraneus;B. sylvarum;B. sylvestris;B. terrestris
1037;PL.LRD;Between fields;1;0;0;0;5;0;0;2;0;0;0;0;3;0;1;0;0;0;1
1037;PL.LRD;Big road;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
1037;PL.LRD;Pasture;0;0;0;0;1;0;0;1;4;0;6;0;4;0;3;0;0;0;4
1037;PL.LRD;Powerline;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2
1037;PL.LRD;Small road;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
1278;PL.LRD;Between fields;0;0;0;0;0;0;0;0;1;1;3;0;1;0;0;0;0;0;0
1278;PL.LRD;Big road;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0
1278;PL.LRD;Pasture;2;0;0;0;2;0;0;1;0;0;5;0;3;0;0;0;0;0;2
1278;PL.LRD;Powerline;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1
1278;PL.LRD;Small road;1;0;0;0;2;0;0;0;0;1;3;2;0;0;0;0;0;2;2
1450;NoPL.HRD;Big road;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
1450;NoPL.HRD;Pasture;0;0;0;0;0;0;0;1;0;0;11;0;0;0;0;0;1;0;0
1450;NoPL.HRD;Small road;0;0;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0
1605;NoPL.HRD;Big road;3;1;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;2;0
1605;NoPL.HRD;Pasture;0;0;0;2;0;1;0;5;5;0;4;4;7;0;2;0;0;0;3
1605;NoPL.HRD;Small road;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1851;PL.HRD;Between fields;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;3
1851;PL.HRD;Big road;0;0;0;1;0;0;0;0;0;0;4;1;0;0;0;0;0;0;1
1851;PL.HRD;Pasture;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0
1851;PL.HRD;Powerline;0;0;0;0;2;2;0;0;0;0;3;1;0;0;0;0;0;0;0
1851;PL.HRD;Small road;0;0;0;0;0;4;0;0;3;0;14;0;1;0;0;0;0;0;1
2014;PL.HRD;Big road;0;0;0;0;0;1;0;3;4;0;0;0;0;0;0;0;0;0;0
2014;PL.HRD;Pasture;0;3;0;1;0;0;0;0;0;0;9;0;1;1;0;0;1;2;2
2014;PL.HRD;Powerline;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2156;NoPL.HRD;Big road;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2156;NoPL.HRD;Pasture;0;0;0;0;1;1;0;0;3;0;3;0;0;0;0;0;0;0;0
2156;NoPL.HRD;Small road;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0
2333;PL.LRD;Big road;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2333;PL.LRD;Pasture;2;0;0;2;6;0;0;6;3;1;2;0;6;0;7;0;1;1;5
2333;PL.LRD;Powerline;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0
2333;PL.LRD;Small road;1;0;0;5;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0
2844;PL.HRD;Between fields;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2844;PL.HRD;Big road;0;0;0;1;0;1;0;0;6;0;3;2;0;0;0;1;0;2;5
