Landscape;Category;Transect_type;Acer platanoides;Achillea millefolium;Achillea ptarmica;Agrimonia eupatoria;Agrostis capillaris;Agrostis gigantea;Agrostis stolonifera;Alchemilla glabra;Alchemilla glaucescens;Alchemilla monticola;Alnus glutinosa;Alopecurus pratensis;Anthoxanthum odoratum;Anthriscus sylvestris;Arrhenatherum pratensis;Arrhenatherum pubescens;Betula pendula;Briza media;Calluna vulgaris;Campanula persicifolia;Campanula rotundifolia;Carex hirta;Carex nigra;Carex ovalis;Carex pallescens;Carex panacea;Carum carvi;Centaurea jacea;Cerastium fontanum;Cirsium arvense;Cirsium palustre;Convallaria majalis;Dactylis glomerata;Danthonia decumbens;Daucus carota;Deschampsia cespitosa;Deschampsia flexuosa;Dianthus deltoides;Elymus repens;Epilobium angustifolium;Epilobium montanum;Euphrasia nemorosa;Euphrasia stricta;Festuca ovina;Festuca pratensis;Festuca rubra;Filipendula ulmaria;Filipendula vulgaris;Fragaria vesca;Fragaria viridis;Galium boreale;Galium verum;Geranium sylvaticum;Geum rivale;Geum urbanum;Glechoma hederacea;Gnaphalium sylvaticum;Helianthemum nummularium;Hieracium pilosella;Hieracium Sylvaticiformia;Hieracium Vulgatiformia;Hypericum maculatum;Hypericum perforatum;Hypochaeris maculata;Juncus articulatus;Juncus compressus;Juncus conglomeratus;Juncus effusus;Juniperus communis;Knautia arvensis;Lathyrus linifolius;Lathyrus pratensis;Leontodon autumnalis;Leucanthemum vulgare;Lotus corniculatus;Luzula campestris;Myosotis arvensis;Myosotis laxa;Oxalis acetosella;Phleum pratense;Pimpinella major;Pimpinella saxifraga;Plantago lanceolata;Plantago major;Plantago media;Poa annua;Poa nemoralis;Poa pratensis;Polygala amarella;Polygala vulgaris;Potentilla anserina;Potentilla argentea;Potentilla erecta;Potentilla reptans;Potentilla tabernaemontani;Primula veris;Prunella vulgaris;Quercus robur;Ranunculus acris;Rhinanthus minor;Rosa dumalis;Rubus idaeus;Rubus saxatilis;Rumex acetosa;Rumex acetosella;Rumex crispus;Saxifraga granulata;Sedum acre;Sedum album;Sedum telephium;Silene nutans;Solidago virgaurea;Stellaria graminea;Stellaria media;Succisa pratensis;Tanacetum vulgare;Taraxacum erythrosperma;Taraxacum vulgare;Tragopogon pratensis;Trifolium arvense;Trifolium hybridum;Trifolium medium;Trifolium pratense;Trifolium repens;Urtica dioica;Vaccinium myrtillus;Vaccinium vitis-idaea;Veronica arvensis;Veronica chamaedrys;Veronica officinalis;Vicia cracca;Vicia sepium;Viola canina
1037;PL.LRD;Between fields;0;1;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
1037;PL.LRD;Big road;0;3;0;0;2;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0
1037;PL.LRD;Pasture;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;0;3;0;0;0;0;0;0;0;0;1
1037;PL.LRD;Powerline;0;0;0;0;1;1;0;0;0;0;0;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;1
1037;PL.LRD;Small road;0;2;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0
1278;PL.LRD;Between fields;0;4;0;0;0;0;1;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;1;2;0;0;0;0;0;1;0;1;0;0
1278;PL.LRD;Big road;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0
1278;PL.LRD;Pasture;0;3;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;4;0;0;0;0;3;0;1;0;0
1278;PL.LRD;Powerline;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;3;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
1278;PL.LRD;Small road;0;4;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;3;0;1;0;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;1;0;1;1;0;0;2;0;0;0;0;0;1;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1
