Landscape;Category;Transect_type;Species;Indiv
1037;PL.LRD;Between fields;B. bohemicus;1
1037;PL.LRD;Between fields;B. humilis;5
1037;PL.LRD;Between fields;B. lapidarius;2
1037;PL.LRD;Between fields;B. ruderarius;3
1037;PL.LRD;Between fields;B. soroeensis;1
1037;PL.LRD;Between fields;B. terrestris;1
1037;PL.LRD;Big road;B. pascuorum;3
1037;PL.LRD;Pasture;B. humilis;1
1037;PL.LRD;Pasture;B. lapidarius;1
1037;PL.LRD;Pasture;B. lucorum;4
1037;PL.LRD;Pasture;B. pascuorum;6
1037;PL.LRD;Pasture;B. ruderarius;4
1037;PL.LRD;Pasture;B. soroeensis;3
1037;PL.LRD;Pasture;B. terrestris;4
1037;PL.LRD;Powerline;B. lucorum;1
1037;PL.LRD;Powerline;B. ruderarius;1
1037;PL.LRD;Powerline;B. terrestris;2
1037;PL.LRD;Small road;B. hortorum;1
1037;PL.LRD;Small road;B. pascuorum;3
1278;PL.LRD;Between fields;B. lucorum;1
1278;PL.LRD;Between fields;B. muscorum;1
1278;PL.LRD;Between fields;B. pascuorum;3
1278;PL.LRD;Between fields;B. ruderarius;1
1278;PL.LRD;Big road;B. pascuorum;1
1278;PL.LRD;Big road;B. ruderarius;1
1278;PL.LRD;Big road;B. subterraneus;1
1278;PL.LRD;Big road;B. sylvarum;1
1278;PL.LRD;Pasture;B. bohemicus;2
1278;PL.LRD;Pasture;B. humilis;2
1278;PL.LRD;Pasture;B. lapidarius;1
1278;PL.LRD;Pasture;B. pascuorum;5
1278;PL.LRD;Pasture;B. ruderarius;3
1278;PL.LRD;Pasture;B. terrestris;2
1278;PL.LRD;Powerline;B. pascuorum;2
1278;PL.LRD;Powerline;B. pratorum;1
1278;PL.LRD;Powerline;B. terrestris;1
1278;PL.LRD;Small road;B. bohemicus;1
1278;PL.LRD;Small road;B. humilis;2
1278;PL.LRD;Small road;B. muscorum;1
1278;PL.LRD;Small road;B. pascuorum;3
1278;PL.LRD;Small road;B. pratorum;2
1278;PL.LRD;Small road;B. sylvestris;2
1278;PL.LRD;Small road;B. terrestris;2
1450;NoPL.HRD;Big road;B. terrestris;3
1450;NoPL.HRD;Pasture;B. lapidarius;1
1450;NoPL.HRD;Pasture;B. pascuorum;11
1450;NoPL.HRD;Pasture;B. sylvarum;1
1450;NoPL.HRD;Small road;B. humilis;1
1450;NoPL.HRD;Small road;B. pascuorum;1
1450;NoPL.HRD;Small road;B. pratorum;4
1605;NoPL.HRD;Big road;B. bohemicus;3
1605;NoPL.HRD;Big road;B. campestris;1
1605;NoPL.HRD;Big road;B. lapidarius;1
