Landscape;Category;Transect_type;Species;Indiv
1037;PL.LRD;Between fields;Aglais urticae;4
1037;PL.LRD;Between fields;Aphantopus hyperantus;2
1037;PL.LRD;Between fields;Argynnis paphia;2
1037;PL.LRD;Between fields;Coenonympha arcania;3
1037;PL.LRD;Between fields;Inachis io;3
1037;PL.LRD;Between fields;Maniola jurtina;1
1037;PL.LRD;Between fields;Vanessa atalanta;2
1037;PL.LRD;Big road;Aphantopus hyperantus;8
1037;PL.LRD;Big road;Coenonympha arcania;2
1037;PL.LRD;Big road;Gonepteryx rhamni;1
1037;PL.LRD;Big road;Pieris napi;4
1037;PL.LRD;Big road;Polyommatus amandus;1
1037;PL.LRD;Pasture;Anthocharis cardamines;1
1037;PL.LRD;Pasture;Aphantopus hyperantus;13
1037;PL.LRD;Pasture;Argynnis aglaja;2
1037;PL.LRD;Pasture;Boloria selene;3
1037;PL.LRD;Pasture;Celastrina argiolus;1
1037;PL.LRD;Pasture;Coenonympha arcania;8
1037;PL.LRD;Pasture;Coenonympha pamphilus;3
1037;PL.LRD;Pasture;Gonepteryx rhamni;3
1037;PL.LRD;Pasture;Inachis io;2
1037;PL.LRD;Pasture;Leptidea sinapis/reali;2
1037;PL.LRD;Pasture;Melitaea athalia;3
1037;PL.LRD;Pasture;Ochlodes sylvanus;6
1037;PL.LRD;Pasture;Pieris brassicae;1
1037;PL.LRD;Pasture;Pieris napi;5
1037;PL.LRD;Pasture;Pieris rapae;3
1037;PL.LRD;Pasture;Plebejus argus;2
1037;PL.LRD;Pasture;Plebejus idas;2
1037;PL.LRD;Pasture;Polyommatus amandus;2
1037;PL.LRD;Pasture;Polyommatus icarus;3
1037;PL.LRD;Pasture;Polyommatus semiargus;1
1037;PL.LRD;Pasture;Thymelicus lineola;1
1037;PL.LRD;Pasture;Zygaena lonicerae;2
1037;PL.LRD;Pasture;Zygaena viciae;2
1037;PL.LRD;Powerline;Aphantopus hyperantus;3
1037;PL.LRD;Powerline;Argynnis aglaja;2
1037;PL.LRD;Powerline;Boloria euphrosyne;13
1037;PL.LRD;Powerline;Boloria selene;5
1037;PL.LRD;Powerline;Callophrys rubi;3
1037;PL.LRD;Powerline;Coenonympha arcania;12
1037;PL.LRD;Powerline;Coenonympha pamphilus;1
1037;PL.LRD;Powerline;Gonepteryx rhamni;1
1037;PL.LRD;Powerline;Lycaena phlaeas;2
1037;PL.LRD;Powerline;Melitaea athalia;1
1037;PL.LRD;Powerline;Ochlodes sylvanus;1
1037;PL.LRD;Powerline;Pieris brassicae;1
1037;PL.LRD;Powerline;Pieris napi;3
1037;PL.LRD;Powerline;Plebejus argus;6
1037;PL.LRD;Powerline;Thymelicus lineola;1
1037;PL.LRD;Powerline;Zygaena viciae;1
1037;PL.LRD;Small road;Aglais urticae;6
1037;PL.LRD;Small road;Aphantopus hyperantus;13
1037;PL.LRD;Small road;Coenonympha arcania;3
1037;PL.LRD;Small road;Inachis io;1
1037;PL.LRD;Small road;Melitaea athalia;1
1037;PL.LRD;Small road;Pieris napi;6
1037;PL.LRD;Small road;Plebejus idas;1
1037;PL.LRD;Small road;Polyommatus amandus;3
1037;PL.LRD;Small road;Polyommatus icarus;2
1037;PL.LRD;Small road;Thymelicus lineola;5
1037;PL.LRD;Small road;Zygaena viciae;1
1278;PL.LRD;Between fields;Aphantopus hyperantus;33
1278;PL.LRD;Between fields;Brenthis ino;2
1278;PL.LRD;Between fields;Coenonympha arcania;1
1278;PL.LRD;Between fields;Coenonympha pamphilus;1
1278;PL.LRD;Between fields;Inachis io;1
1278;PL.LRD;Between fields;Maniola jurtina;3
1278;PL.LRD;Between fields;Polyommatus amandus;8
1278;PL.LRD;Between fields;Thymelicus lineola;3
1278;PL.LRD;Between fields;Zygaena viciae;1
1278;PL.LRD;Big road;Aglais urticae;1
1278;PL.LRD;Big road;Aphantopus hyperantus;5
1278;PL.LRD;Big road;Argynnis niobe;1
1278;PL.LRD;Big road;Coenonympha arcania;2
1278;PL.LRD;Big road;Lasiommata maera;1
1278;PL.LRD;Big road;Maniola jurtina;1
1278;PL.LRD;Big road;Thymelicus lineola;1
1278;PL.LRD;Pasture;Aglais urticae;2
1278;PL.LRD;Pasture;Aphantopus hyperantus;23
1278;PL.LRD;Pasture;Argynnis aglaja;5
1278;PL.LRD;Pasture;Argynnis paphia;1
1278;PL.LRD;Pasture;Boloria selene;1
1278;PL.LRD;Pasture;Coenonympha arcania;14
1278;PL.LRD;Pasture;Coenonympha pamphilus;2
1278;PL.LRD;Pasture;Inachis io;2
1278;PL.LRD;Pasture;Lycaena phlaeas;1
