Landscape;Transect_type;Category;bf.sespd;bf.rich;bb.sespd;bb.rich;pp.sespd;pp.rich;TUVA;Powerline;Railway;Road;Public_road;Between_fields;Forest;Arable;Open_areas;Urban;Water;PL;RD
1037;Between fields;PL.LRD;-2,924958122;7;1,424220904;6;;;0,069586949;0,038235178;0;0,024132218;0,001615991;0,001008666;3,191981055;0,446908292;0,22561459;0;0,000917015;1;0
1037;Big road;PL.LRD;-0,833506808;5;0;1;;;0,069586949;0,038235178;0;0,024132218;0,001615991;0,001008666;3,191981055;0,446908292;0,22561459;0;0,000917015;1;0
1037;Pasture;PL.LRD;-0,505689023;23;-0,709605081;7;;;0,069586949;0,038235178;0;0,024132218;0,001615991;0,001008666;3,191981055;0,446908292;0,22561459;0;0,000917015;1;0
1037;Powerline;PL.LRD;0,170595989;16;-0,446677812;3;;;0,069586949;0,038235178;0;0,024132218;0,001615991;0,001008666;3,191981055;0,446908292;0,22561459;0;0,000917015;1;0
1037;Small road;PL.LRD;0,806967544;11;0,948052818;2;;;0,069586949;0,038235178;0;0,024132218;0,001615991;0,001008666;3,191981055;0,446908292;0,22561459;0;0,000917015;1;0
1278;Between fields;PL.LRD;0,370015695;9;-0,639742675;4;;;0,167941975;0,090502516;0,018982867;0,021525833;0,008052971;0,003174906;3,165931675;0,412475004;0,087904542;0,023510443;0;1;0
1278;Big road;PL.LRD;-1,290809229;7;-0,995653412;4;;;0,167941975;0,090502516;0,018982867;0,021525833;0,008052971;0,003174906;3,165931675;0,412475004;0,087904542;0,023510443;0;1;0
1278;Pasture;PL.LRD;-1,139413532;15;-0,224922783;6;;;0,167941975;0,090502516;0,018982867;0,021525833;0,008052971;0,003174906;3,165931675;0,412475004;0,087904542;0,023510443;0;1;0
1278;Powerline;PL.LRD;-0,378759531;12;0,008655706;3;;;0,167941975;0,090502516;0,018982867;0,021525833;0,008052971;0,003174906;3,165931675;0,412475004;0,087904542;0,023510443;0;1;0
1278;Small road;PL.LRD;-0,110225413;16;-0,849182319;7;;;0,167941975;0,090502516;0,018982867;0,021525833;0,008052971;0,003174906;3,165931675;0,412475004;0,087904542;0,023510443;0;1;0
1450;Big road;NoPL.HRD;0,018310518;8;0;1;;;0,395204068;0;0;0,035160549;0,048769977;0,002653544;2,643960893;0,553114933;0,266494454;0,000138159;0,056764909;0;1
1450;Pasture;NoPL.HRD;-0,968991507;15;-0,13317023;3;;;0,395204068;0;0;0,035160549;0,048769977;0,002653544;2,643960893;0,553114933;0,266494454;0,000138159;0,056764909;0;1
1450;Small road;NoPL.HRD;-1,158313228;11;-0,386509777;3;;;0,395204068;0;0;0,035160549;0,048769977;0,002653544;2,643960893;0,553114933;0,266494454;0,000138159;0,056764909;0;1
1605;Big road;NoPL.HRD;-1,223606852;9;-2,798154088;6;;;0,161606023;0;0;0,041203837;0,040228233;0,000862126;2,739033752;0,569704354;0,289068432;0;0,158293164;0;1
1605;Pasture;NoPL.HRD;-1,329574557;11;0,665460316;9;;;0,161606023;0;0;0,041203837;0,040228233;0,000862126;2,739033752;0,569704354;0,289068432;0;0,158293164;0;1
1605;Small road;NoPL.HRD;0,576813026;2;0;1;;;0,161606023;0;0;0,041203837;0,040228233;0,000862126;2,739033752;0,569704354;0,289068432;0;0,158293164;0;1
1851;Between fields;PL.HRD;-0,886187455;7;-0,445106771;3;;;0,053384385;0,024706732;0,016206941;0,060832086;0,126168887;0,009626533;1,899447766;0,921998154;0,634411839;0,25321753;0;1;1
1851;Big road;PL.HRD;-0,7517528;7;0,625942473;4;;;0,053384385;0,024706732;0,016206941;0,060832086;0,126168887;0,009626533;1,899447766;0,921998154;0,634411839;0,25321753;0;1;1
1851;Pasture;PL.HRD;-1,430649997;12;-0,391090272;3;;;0,053384385;0,024706732;0,016206941;0,060832086;0,126168887;0,009626533;1,899447766;0,921998154;0,634411839;0,25321753;0;1;1
1851;Powerline;PL.HRD;-2,35812098;8;-1,169391721;4;;;0,053384385;0,024706732;0,016206941;0,060832086;0,126168887;0,009626533;1,899447766;0,921998154;0,634411839;0,25321753;0;1;1
1851;Small road;PL.HRD;0,735186613;5;-1,467771735;5;;;0,053384385;0,024706732;0,016206941;0,060832086;0,126168887;0,009626533;1,899447766;0,921998154;0,634411839;0,25321753;0;1;1
2014;Big road;PL.HRD;-0,7517528;7;-1,918659523;3;;;0,153229337;0,063402546;0,032577803;0,052630787;0,035255492;0,006310839;2,367153967;0,897253429;0,380933747;0;0,012188908;1;1
2014;Pasture;PL.HRD;-0,820551559;7;-1,132968628;8;;;0,153229337;0,063402546;0,032577803;0,052630787;0,035255492;0,006310839;2,367153967;0,897253429;0,380933747;0;0,012188908;1;1
2014;Powerline;PL.HRD;0,571134608;6;-0,349764609;3;;;0,153229337;0,063402546;0,032577803;0,052630787;0,035255492;0,006310839;2,367153967;0,897253429;0,380933747;0;0,012188908;1;1
2014;Small road;PL.HRD;0,499125283;5;0;0;;;0,153229337;0,063402546;0,032577803;0,052630787;0,035255492;0,006310839;2,367153967;0,897253429;0,380933747;0;0,012188908;1;1
2156;Big road;NoPL.HRD;-0,496414246;6;0;1;;;0,050318125;0;0;0,048787678;0,03541363;0,006093482;3,088234136;0,478914619;0,182837605;0,109400653;0;0;1
2156;Pasture;NoPL.HRD;-0,269196988;11;-0,952890417;4;;;0,050318125;0;0;0,048787678;0,03541363;0,006093482;3,088234136;0,478914619;0,182837605;0,109400653;0;0;1
2156;Small road;NoPL.HRD;-0,778413786;3;-1,481538255;2;;;0,050318125;0;0;0,048787678;0,03541363;0,006093482;3,088234136;0,478914619;0,182837605;0,109400653;0;0;1
2333;Big road;PL.LRD;0,942901031;2;0;1;;;0,046520402;0,059128782;0,060416722;0,022226624;0,009781725;0,001892771;2,787817645;0,434489324;0,254721148;0;0,327675704;1;0
2333;Pasture;PL.LRD;-0,946200037;10;-0,025437914;12;;;0,046520402;0,059128782;0,060416722;0,022226624;0,009781725;0,001892771;2,787817645;0,434489324;0,254721148;0;0,327675704;1;0
2333;Powerline;PL.LRD;0,354716032;9;-0,261975376;5;;;0,046520402;0,059128782;0,060416722;0,022226624;0,009781725;0,001892771;2,787817645;0,434489324;0,254721148;0;0,327675704;1;0
2333;Small road;PL.LRD;-1,651567587;5;-0,06064667;5;;;0,046520402;0,059128782;0,060416722;0,022226624;0,009781725;0,001892771;2,787817645;0,434489324;0,254721148;0;0,327675704;1;0
2844;Between fields;PL.HRD;-2,227900429;5;0,016135799;2;;;0,042654484;0,010892569;0;0,043949659;0,035855766;0,002898357;2,794571767;0,847015119;0,157859594;0;0,0643026;1;1
2844;Big road;PL.HRD;0,207246962;5;-0,488055829;8;;;0,042654484;0,010892569;0;0,043949659;0,035855766;0,002898357;2,794571767;0,847015119;0,157859594;0;0,0643026;1;1
