Landscape;Transect_type;Category;bf.rich;bb.rich;pp.rich;pi.rich;bf.special;pp.special;bf.red;bf.redpa;TUVA;Powerline;Railway;Road;Public_road;Between_fields;Forest;Arable;Open_areas;Urban;Water;PL;RD;Pasture.mngmt;Pwrl.type;Pwrl.year;Pwrl.yr.since.mown
1037;Between fields;PL.LRD;7;6;9;0;3;5;0;0;0,069586949;0,038235178;0;0,024132218;0,001615991;0,001008666;3,191981055;0,446908292;0,22561459;0;0,000917015;1;0;;;;
1037;Big road;PL.LRD;5;1;16;0;3;9;0;0;0,069586949;0,038235178;0;0,024132218;0,001615991;0,001008666;3,191981055;0,446908292;0,22561459;0;0,000917015;1;0;;;;
1037;Pasture;PL.LRD;23;7;20;4;11;16;2;1;0,069586949;0,038235178;0;0,024132218;0,001615991;0,001008666;3,191981055;0,446908292;0,22561459;0;0,000917015;1;0;horses;;;
1037;Powerline;PL.LRD;16;3;17;1;8;11;1;1;0,069586949;0,038235178;0;0,024132218;0,001615991;0,001008666;3,191981055;0,446908292;0,22561459;0;0,000917015;1;0;;Region;2014;2
1037;Small road;PL.LRD;11;2;20;3;5;11;1;1;0,069586949;0,038235178;0;0,024132218;0,001615991;0,001008666;3,191981055;0,446908292;0,22561459;0;0,000917015;1;0;;;;
1278;Between fields;PL.LRD;9;4;18;0;6;12;1;1;0,167941975;0,090502516;0,018982867;0,021525833;0,008052971;0,003174906;3,165931675;0,412475004;0,087904542;0,023510443;0;1;0;;;;
1278;Big road;PL.LRD;7;4;14;1;3;11;1;1;0,167941975;0,090502516;0,018982867;0,021525833;0,008052971;0,003174906;3,165931675;0,412475004;0,087904542;0,023510443;0;1;0;;;;
1278;Pasture;PL.LRD;15;6;17;2;8;12;0;0;0,167941975;0,090502516;0,018982867;0,021525833;0,008052971;0,003174906;3,165931675;0,412475004;0,087904542;0,023510443;0;1;0;cows;;;
1278;Powerline;PL.LRD;12;3;19;1;5;8;0;0;0,167941975;0,090502516;0,018982867;0,021525833;0,008052971;0,003174906;3,165931675;0,412475004;0,087904542;0,023510443;0;1;0;;Region;2014;2
1278;Small road;PL.LRD;16;7;31;6;7;24;1;1;0,167941975;0,090502516;0,018982867;0,021525833;0,008052971;0,003174906;3,165931675;0,412475004;0,087904542;0,023510443;0;1;0;;;;
1450;Big road;NoPL.HRD;8;1;9;1;3;3;0;0;0,395204068;0;0;0,035160549;0,048769977;0,002653544;2,643960893;0,553114933;0,266494454;0,000138159;0,056764909;0;1;;;;
1450;Pasture;NoPL.HRD;15;3;17;4;8;11;0;0;0,395204068;0;0;0,035160549;0,048769977;0,002653544;2,643960893;0,553114933;0,266494454;0,000138159;0,056764909;0;1;none;;;
1450;Small road;NoPL.HRD;11;3;20;4;3;12;0;0;0,395204068;0;0;0,035160549;0,048769977;0,002653544;2,643960893;0,553114933;0,266494454;0,000138159;0,056764909;0;1;;;;
1605;Big road;NoPL.HRD;9;6;10;0;3;5;0;0;0,161606023;0;0;0,041203837;0,040228233;0,000862126;2,739033752;0,569704354;0,289068432;0;0,158293164;0;1;;;;
1605;Pasture;NoPL.HRD;11;9;13;2;6;8;0;0;0,161606023;0;0;0,041203837;0,040228233;0,000862126;2,739033752;0,569704354;0,289068432;0;0,158293164;0;1;cows;;;
1605;Small road;NoPL.HRD;2;1;9;0;1;5;0;0;0,161606023;0;0;0,041203837;0,040228233;0,000862126;2,739033752;0,569704354;0,289068432;0;0,158293164;0;1;;;;
1851;Between fields;PL.HRD;7;3;NA;NA;4;0;0;0;0,053384385;0,024706732;0,016206941;0,060832086;0,126168887;0,009626533;1,899447766;0,921998154;0,634411839;0,25321753;0;1;1;;;;
1851;Big road;PL.HRD;7;4;24;1;2;15;0;0;0,053384385;0,024706732;0,016206941;0,060832086;0,126168887;0,009626533;1,899447766;0,921998154;0,634411839;0,25321753;0;1;1;;;;
1851;Pasture;PL.HRD;12;3;22;3;7;19;0;0;0,053384385;0,024706732;0,016206941;0,060832086;0,126168887;0,009626533;1,899447766;0,921998154;0,634411839;0,25321753;0;1;1;cows;;;
1851;Powerline;PL.HRD;8;4;26;2;6;17;0;0;0,053384385;0,024706732;0,016206941;0,060832086;0,126168887;0,009626533;1,899447766;0,921998154;0,634411839;0,25321753;0;1;1;;Region;2013;3
1851;Small road;PL.HRD;5;5;19;0;1;11;0;0;0,053384385;0,024706732;0,016206941;0,060832086;0,126168887;0,009626533;1,899447766;0,921998154;0,634411839;0,25321753;0;1;1;;;;
2014;Big road;PL.HRD;7;3;20;1;2;10;0;0;0,153229337;0,063402546;0,032577803;0,052630787;0,035255492;0,006310839;2,367153967;0,897253429;0,380933747;0;0,012188908;1;1;;;;
2014;Pasture;PL.HRD;7;8;28;3;3;23;0;0;0,153229337;0,063402546;0,032577803;0,052630787;0,035255492;0,006310839;2,367153967;0,897253429;0,380933747;0;0,012188908;1;1;cows;;;
2014;Powerline;PL.HRD;6;3;25;5;4;15;1;1;0,153229337;0,063402546;0,032577803;0,052630787;0,035255492;0,006310839;2,367153967;0,897253429;0,380933747;0;0,012188908;1;1;;Region;2014;2
2014;Small road;PL.HRD;5;0;21;2;1;12;0;0;0,153229337;0,063402546;0,032577803;0,052630787;0,035255492;0,006310839;2,367153967;0,897253429;0,380933747;0;0,012188908;1;1;;;;
2156;Big road;NoPL.HRD;6;1;16;0;5;9;0;0;0,050318125;0;0;0,048787678;0,03541363;0,006093482;3,088234136;0,478914619;0,182837605;0,109400653;0;0;1;;;;
2156;Pasture;NoPL.HRD;11;4;20;1;7;19;0;0;0,050318125;0;0;0,048787678;0,03541363;0,006093482;3,088234136;0,478914619;0,182837605;0,109400653;0;0;1;cows;;;
2156;Small road;NoPL.HRD;3;2;10;1;1;4;0;0;0,050318125;0;0;0,048787678;0,03541363;0,006093482;3,088234136;0,478914619;0,182837605;0,109400653;0;0;1;;;;
